,Date,Headline,Alternate Headline,Link
0,2020-02-04,"
					 					 M&M; doesn't want to be patriarchal, wants to buck the trend: Anand Mahindra					 ","My whole style is to gradually step away and allow for empowerment. Family businesses have to put competent people in charge, says Anand Mahindra",https://www.business-standard.com/article/companies/m-m-doesn-t-want-to-be-patriarchal-wants-to-buck-the-trend-anand-mahindra-120020400038_1.html
1,2020-02-04,"
					 					 Coronavirus outbreak may impact India Inc's fund-raising via IPOs, QIPs					 ",Roadshows are integral to fund-raising - foreign investors get to meet the promoters and query them face-to-face on company prospects,https://www.business-standard.com/article/companies/coronavirus-outbreak-may-impact-india-inc-s-fund-raising-via-ipos-qips-120020400034_1.html
2,2020-02-04,"
					 					 Resources being prudently used, unlike UPA regime: FM Nirmala Sitharaman					 ",Sitharaman said her ministry is motivating tax officers to meet the collection targets and not forcing them to do so,https://www.business-standard.com/article/economy-policy/resources-being-prudently-used-unlike-upa-regime-fm-nirmala-sitharaman-120020400032_1.html
3,2020-02-04,"
					 					 Centre looks to issue G-secs without foreign limits in first half of FY21					 ",India may get included in global bond indices soon,https://www.business-standard.com/article/economy-policy/centre-looks-to-issue-g-secs-without-foreign-limits-in-first-half-of-fy21-120020400030_1.html
4,2020-02-04,"
					 					 Escorts stock gains on tractor sales uptick, Budget 2020 proposals					 ",Analysts expect tractors to benefit the most from rural revival,https://www.business-standard.com/article/companies/escorts-stock-gains-on-tractor-sales-uptick-budget-2020-proposals-120020400026_1.html
5,2020-02-04,"
					 					 Iron ore mine wins, Budget 2020 positive for JSW Steel; stock gains 2.9%					 ","Weak Q3, expansion delay at Dolvi, losses at foreign arms led to price correction",https://www.business-standard.com/article/companies/iron-ore-mine-wins-budget-2020-positive-for-jsw-steel-stock-gains-2-9-120020400024_1.html
6,2020-02-04,"
					 					 Shree Cement to enter western India market in the coming six months					 ","Investment in the plant, spread across 65.7 acres, is Rs 625 crore. It doesn't have linkages to limestone reserves and is getting this from a Shree unit near Kodla village in Karnataka",https://www.business-standard.com/article/companies/shree-cement-to-enter-western-india-market-in-the-coming-six-months-120020400025_1.html
7,2020-02-04,"
					 					 Reliance Industries, BP shut down D1/D3 gas field in KG-D6 block					 ","The fields were India's first deepwater gas field, which started production in April 2009. The fields were expected to cease production in 2015",https://www.business-standard.com/article/companies/reliance-industries-bp-shut-down-d1-d3-gas-field-in-kg-d6-block-120020400021_1.html
8,2020-02-04,"
					 					 Sebi suspends trading in shares of Coffee Day Enterprises from Monday					 ",The shares of the firm were last traded on Saturday (February 1) when the market was open for the Budget announcements,https://www.business-standard.com/article/companies/sebi-suspends-trading-in-shares-of-coffee-day-enterprises-from-monday-120020400015_1.html
9,2020-02-04,"
					 					 ITC investors fume over slower growth in Oct-Dec quarter, higher taxes					 ","Investor concerns are not without reason, considering the cigarette business accounted for 84.7% of ITC's consolidated earnings before interest and tax in 2018-19",https://www.business-standard.com/article/companies/itc-investors-fume-over-slower-growth-in-oct-dec-quarter-higher-taxes-120020301789_1.html
10,2020-02-04,"
					 					 The road to trust and loyalty: Amazon rings a halo around the brand					 ","With a campaign centred around the sellers on its platform, the e-commerce giant is pitching for loyalty, from vendors and buyers",https://www.business-standard.com/article/companies/the-road-to-trust-and-loyalty-amazon-rings-a-halo-around-the-brand-120020301682_1.html
11,2020-02-04,"
					 					 Bengaluru's realty market emerges unscathed from economic slowdown					 ","Besides the traditional segments, the demand for co-living, co-working and senior living is keeping the sector buzzing",https://www.business-standard.com/article/companies/bengaluru-s-realty-market-emerges-unscathed-from-economic-slowdown-120020301681_1.html
12,2020-02-04,"
					 					 Apple supplier Wistron to assemble key iPhone parts in new India plant					 ","The local assembly of PCBs by Wistron's India unit will be a first for the contract manufacturer, which began making Apple's low-priced SE model in the southern tech hub of Bengaluru in 2017",https://www.business-standard.com/article/companies/apple-supplier-wistron-to-assemble-key-iphone-parts-in-new-india-plant-120020301663_1.html
13,2020-02-04,"
					 					 Kia Motors sells 15,450 cars in January, retains 4th position in PV segment					 ","The firm despatched 15,000 units of Seltos and 450 units of Carnival to dealers during last month, Kia Motors India said in a statement",https://www.business-standard.com/article/companies/kia-motors-sells-15-450-cars-in-january-retains-4th-position-in-pv-segment-120020301651_1.html
